movie,duration
f_Q10_6650_argue_and_leave.mov,14.116667
f_Q14_6654_bust_in.mov,10.083333
f_Q35_6678_run_stop.mov,8.016667
f_Q40_6683_carry.mov,8.983333
f_Q49_6692_nod.mov,6.016667
f_Q50_6693_bolt_out_of_house.mov,11.25
f_Q57_6701_bother_and_argue.mov,11.783333
f_Q75_6722_nudge_awake.mov,14.216667
f_Q76_6723_argue_and_sneak_in.mov,12.816667
f_Q78_6725_save_and_hug.mov,21.583333
f_Q86_6736_run_behind_house.mov,6.583333
f_Q90_6740_bump_and_run.mov,3.85
f_Q95_6745_a_beautiful_day.mov,7.45